Text,Labels
"linux.ie mailing list memberships reminderThis is a reminder, sent out once a month, about your linux.ie mailing
list memberships.  It includes your subscription info and how to use
it to change it or unsubscribe from a list.

You can visit the URLs to change your membership status or
configuration, including unsubscribing, setting digest-style delivery
or disabling delivery altogether (e.g., for a vacation), and so on.

In addition to the URL interfaces, you can also use email to make such
changes.  For more info, send a message to the '-request' address of
the list (for example, webdev-request@linux.ie) containing just the
word 'help' in the message body, and an email message will be sent to
you with instructions.

If you have questions, problems, comments, etc, send them to
listmaster@tuatha.org.  Thanks!

Passwords for jm-webdev@jmason.org:

List                                     Password // URL
----                                     --------  
webdev@linux.ie                          foo       
http://www.linux.ie/mailman/options/webdev/jm-webdev@jmason.org",0
"What a Sale, hibody! You save up to 75%. in the base and


  

of thrower for of








To view this email as a web page, click here.







Wednesday, May 12, 2010


&nbsp;













summer Homo |
Underworld H |
Aurangzeb |
del to a
Armfield particularly they |
being by



Of the eighteen parvas, only eight Kawi manuscripts remain.
Two decades later, in World War 
II, the United Kingdom again fought 
for 
the Allies.
Georgia Department of Natural Resources gadnr.
The Italian Socialist Party 
purged itself of 
pro-war nationalist members, including Mussolini.
Steven Wright stands accused of 
these offences and has a right to a 
fair trial before a 
jury.
The February 2009 Great Britain and Ireland snowfall was the heaviest London had seen for 
18 years.
For the ancient Thessalian 
dialect, see Aeolic Greek.
This has the disadvantage that it is possible for chunks 
of fuel between the 
holes to become detached during a burn and obstruct the flow of oxidiser and exhaust.
Whilst Blackpool have one of the lowest average home attendances in the Championship, the 
atmosphere generated by 
the home 
support is regarded as loud and intimidating.
Yuzovka 
was renamed Stalino in 1924 and Donetsk in 1961, and 
was at the heart of one of the most industrialized areas of the Russian Empire.
Death Penalty Information Center.
List of people associated with World War I.
She was raised by missionary parents and spent much of her childhood in various parts of 
the 
world, ranging from the Philippines to 
Jamaica.Includes a detailed picture of atoms in the pump.
For every 100 females age 18 and over, there were 83.It stands at the Hashawha Environmental Center [6].Transactions and Proceedings of 
the 
New Zealand Institute.
This ion pump uses ATP to pump 3 sodium ions out of the cell and 2 potassium ions 
into 
the cell, 
thus 
creating 
an electrochemical 
gradient over the cell membrane.
He was adopted as the heir of his 
uncle, Matsudaira Masatsuna, 
in 1601.
The Portuguese urban settlements heraldry reflects the difference between cities, towns and villages [31], with the coat of arms of a city bearing a crown with 5 towers, the coat of arms of a town bearing 
a crown with 4 towers, while the coat of arms of 
a village bears a crown with 3 towers.
They were twenty-three daimyo on the borders of Tokugawa lands, daimyo all directly related to Ieyasu.Do not duplicate names 
of state 
electoral 
districts.
Throughout its history, the region of Uttar 
Pradesh was 
sometimes divided 
between smaller 
kingdoms and at other times 
formed an important part of larger empires that arose on its east or 
west, including 
the 
Magadha, 
Nanda, Mauryan, Sunga, Kushan, Gurjara, Gupta, 
Pala and Mughal empires.
Tinzaouaten is a rural commune in the VIIIth or Kidal Region.
During the same period of time, numerous French 
Canadians also emigrated 
and settled in Eastern and Northern Ontario.
Additionally, the 
Hispanic terms are modified from ""Hispanic or Latino"" to ""Hispanic, Latino or Spanish origin"".Recently the 
entire catalogue of characters created 
by Red 
Circle have been licensed [citation needed] for use by DC Comics.
In a state, 
a 
member of the executive branch of government, or the office of Head of State, as well as the legislative branch, and regional and local levels of government.
Toledo, Castile-La Mancha, Spain.
Most fishermen and captains of charters practice capture-and-release fishing, as they are a rare fish.
Had children under the age of 18 living with 
them, 56.
As it is very 
electropositive and 
highly reactive potassium metal is difficult to obtain from 
its minerals.Organization 
relied on reciprocity and redistribution because these societies had no notion of market or money.


You are subscribed as: hibody@csmining.org.

Click here to unsubscribe.


Copyright (c) 2010 and











",0
"[SPAM]  Xbox 360 game walkthroughs




body,.backgroundTable{background-color:#FFFFCC;}#contentTable{border:0px none #000000;margin-top:10px;}
headerTop{background-color:#d3d3d3;border-top:3px solid #000000;border-bottom:0px none #FFFFFF;text-align:center;padding:0px;}
adminText{font-size:10px;color:#663300;line-height:200%;font-family:Verdana;text-decoration:none;}.headerBar{background-color:#FFFFFF;border-top:0px none #333333;border-bottom:3px solid #000000;padding:0px;}
headerBarText{color:#333333;font-size:30px;font-family:Verdana;font-weight:normal;text-align:left;}.title{font-size:24px;font-weight:bold;color:#005595;font-family:Arial;line-height:100%;}
subTitle{font-size:14px;font-weight:bold;color:#000000;font-style:normal;font-family:Arial;}.defaultText{font-size:12px;color:#000000;line-height:150%;font-family:Arial;width:400px;background-color:#FFFFFF;padding:20px;}
sideColumn{background-color:#FFFFFF;border-left:0px dashed #CCCCCC;text-align:left;width:200px;padding:3px;margin:0px;}
sideColumnText{font-size:11px;font-weight:normal;color:#666666;font-family:Arial;line-height:150%;}.sideColumnTitle{font-size:15px;font-weight:bold;color:#333333;font-family:Arial;line-height:150%;}
footerRow{background-color:#d3d3d3;border-top:3px solid #000000;padding:5px;}.footerText{font-size:10px;color:#333333;line-height:100%;font-family:Arial;}
a,a:link,a:visited{color:#800000;text-decoration:underline;font-weight:normal;}.headerTop a{color:#663300;text-decoration:none;font-weight:normal;}
classic { font-size:19px; background-color:#EFEFEF; font-family:Arial; font-weight:normal; text-decoration:underline}
footerRow a{color:#800000;text-decoration:underline;font-weight:normal;}body,.backgroundTable{background-color:#ffffff;}











Trouble seeing this? Here's the link




&nbsp;
















 If you're having problems receiving the weekly newsletter, it's possible it is getting caught in your spam filter. Don't agree with something? *All outside Internet links are provided for informational purposes, and do not imply endorsement by Youth Specialties. You may remove these if you deem them inappropriate for your students.
You are receiving this email because you opted in at Youth Specialties.          Unsubscribe
	hibody@csmining.org from this list.          Our mailing address is:     Youth Specialties1890 Cordell Ct., Suite 105El Cajon, CA  92020Add us to your address book
	     Copyright (C) 2009 Youth Specialties All rights reserved.          Forward this email to a friend     Update your profile













",1
"calling wayne baisley@#!You around?
C

-- 
""I don't take no stocks in mathematics, anyway"" --Huckleberry Finn",0
"Von Neumann's Best Friend, a bio-petURL: http://boingboing.net/#85485759
Date: Not supplied

[IMG: http://www.craphound.com/images/nanodog.jpg] Matt ""Warchalking"" Jones has 
come up with a bio-dog for the latest Viridian Design Contest[1], called Von 
Neumann's Best Friend. Link[2] Discuss[3] (_Thanks, Matt[4]!_) 


[1] http://www.viridiandesign.org/notes/301-350/00332_biofuture_robot_dog_contest.html
[2] http://www.blackbeltjones.com/vonneumann/vonneumann.gif
[3] http://www.quicktopic.com/boing/H/ejEDBhNuW3Nt
[4] http://www.blackbeltjones.com/work/",0
"Apple: Heinous DVD PiratesURL: http://www.aaronsw.com/weblog/000644
Date: 2002-10-08T01:21:33-06:00

DeCSS detractors have repeatedly claimed that DeCSS needs to be stopped because 
it makes perfect digital copies of DVDs possible. Recently, in private email, 
Ernest Miller claimed that doing so would be a violation of the DMCA. In this 
in-depth special report, I show that using perfectly legal, (I assume) 
licensed, off-the-shelf consumer software, copying DVDs is easy and in many 
ways encouraged. 

*Tools:*
1 PowerBook G4 with slot-loading DVD drive (any model should work)
1 Monsters, Inc. Collector's Edition DVD (any DVD should work)
1 copy of Mac OS X 10.2 ""Jaguar"" 

*Process:*
1. Insert DVD into drive. Notice how Jaguar helpfully loads the DVD Player for 
you.
2. Open the DVD (it appears on the desktop) and drag the VIDEO_TS folder to 
your hard drive. Ejct the DVD.
3. In DVD Player, select ""Open VIDEO_TS Folder..."" from the File menu. Use the 
dialog that appears to select the VIDEO_TS folder on your hard drive. 

Now the DVD plays just like it would were the DVD in the drive. By extension, I 
could also put the DVD up on my site for you to download and watch. I could 
share it via a P2P network. And I haven't done anything to decrypt the DVD or 
violate the DMCA: I've used only basic tools available to all normal computer 
users on my (I assume) fully-licensed consumer laptop. 

*Disclaimer:* Seth Schoen, whose opinion I highly respect on these matters, 
finds it unlikely that the DVD was CSS-encrypted if this was possible. I am not 
sure how to verify if the DVD is CSS-encrypted. If someone has a suggestion, 
please let me know. However, if it is true, then it's very interesting that 
Disney has released such a major movie without encryption.",1
"link to my webcam you wanted Wanna see sexually curious teens playing with each other?

http://www.site-personals.com <-- click here=)

me and my horny girlfriends are waiting for you... we are probably eating each other out on webcam in our dormitory as ur reading this! (inbetween classes of course *wink*)

see you soon baby,
-Veronica






















mcmfkhcpedgetqj",1
"Look What Sandy is Doing in her DORM!!



  
     



This WEEK: Sydney Bares ALL in the park!


Join her in our Live Teen Chat!


Watch as Sandy Strips Naked in her Dorm!


Best of All, see it 


ALL 4 FREE!

Don't Miss Out! 


Watch in Awe as Stacey Suck-Starts Ken!



AND OUR BONUS:
Pam & Tommy UNCUT!
Penthouse Forum Stories!
Jenna Jamieson in JennaMaxx!!



Get in here for FREE NOW!




",1
"Re: Realtek ethernet (was Re: recent mobo recommendation)Ron Johnson put forth on 4/14/2010 10:14 PM:

> Nothing I've seen in dmesg has ever led me to think that the r8169
> driver in my Sid linux-source-2.6.31 kernel (yes, it's old; .32 and 33
> fail to build) loads a blob.

Almost all NICs load firmware blobs.  It's in dmesg somewhere.  When the
firmware doesn't load you get something like this in dmesg:

eth1: RTL8168d/8111d at 0xffffc90000c4e000,xx:xx:xx:xx:xx:xx, XID 083000c0
IRQ 32
eth1: unable to apply firmware patch

That's a paste from one of the OPs here who was bitten by the 2.6.32-trunk
upgrade which IIRC is the one that ripped out the RTL firmware blob.

I can't find via Google a dmesg snippet of a successful RTL firmware load.
Here's what it looks like for Intel 8255X using the e100 driver, with the
firmware blobs all compiled into the kernel:

e100 0000:00:0d.0: firmware: using built-in firmware e100/d101m_ucode.bin

""built-in"" signifies that the firmware blob has been included in the kernel
at compile time.  I do this to avoid issues such as this RTL problem.  It
only adds a couple hundred K to the kernel image.  And I use the vanilla
kernel.org sources to avoid any Debian ""non-free"" issues.

Just about every NIC on the planet uses a firmware blob.  There are, IIRC, 3
ways to load the device firmware into the Linux kernel.  This applies to all
devices that require soft firmware, not just NICs:

1.  Compile all device firmware blobs into the kernel
2.  Compile the individual blob into the driver, use initrd
3.  Put firmware file in root filesystem, tell kernel the path

#3 won't work with drivers that are needed during the boot process such as
block device drivers.  Those require method 1 or 2.  NICs should be able to
use 1-3.

There are 3 different dmesg statements and 3 different errors depending on
which method 1-3 above that you're using.

>> At least a couple of people on this list went out and bought
>> non-RealTek PCI
>> NICs to fix the problem instead of reverting to the older kernel.
> 
> I sort of remember that.

Yeah, I just pulled the mails.  One upgraded to 2.6.32-trunk on his
firewall, bricking it until he disabled the onboard RTL and installed an
Intel e100 IIRC.  They thought it was a udev issue til I noticed the
firmware load failure message referenced up above in this email.  The other
had an RTL wireless that failed for the same reason.  I can't recall how
they fixed that one.  IIRC the OP didn't swap hardware to achieve the fix,
so they did something with the kernel/driver/firmware.

> I'm not surprised.  Since I'm only connected to a small 100Mbps LAN
> which then connects to a 12Mbps cable modem, it doesn't really affect me.

Do some FTP or SCP tests back and forth to another LAN machine and see what
transfers rates you get out of that RTL chip.  I bet you get 1/3rd wire
speed at best, about 30MB/s, if even that.  The machines themselves need to
be modern to saturate the link--no slow CPUs or disks.  Any ~2GHz CPU with
512MB RAM and a decent 7.2K RPM SATA disk should be able to push/pull 50MB/s
across the wire.  For that matter, eliminate the disk by creating a 200MB
RAM disk on each machine.  Create a test file with dd and FTP/SCP it back
and forth between the RAM disks.  If your RTL chip can peak the wire it'll
be a 2-3 second transfer if your network chips and Linux TCP stacks are up
to the task.

> Maybe if I ever get .32 or .33 I'll squeal in anger.  Until then...

It's looking like the RTL firmware blob issue may have been limited to the
trunk kernel.  You may get lucky.  Then again, if you roll your own and put
the firmware blobs in the kernel itself as I do, you shouldn't have a
problem.  That is, if the Debian kernel source doesn't have the blob ripped
out for being ""non-free"".

You mentioned you had problems building 2.6.32 and .33 kernel source.  Do
you use the Debian kernel source or kernel.org source?  I've been using the
kernel.org source for quite some time and have never had any real problems
with it (knocks on wood).  I had a build problem with .33 a while back but
that turned out to be due to a slight bit too much overclock on my machine
in this warmer weather.  ;)

-- 
Stan


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/4BC6960E.7020202@hardwarefreak.com",1
"Re: PDF is blocked for printing, etc. OK for acroread (it behaves
 as expected), but KPDF allows me to print it, even if it is protected! Why?-----BEGIN PGP SIGNED MESSAGE-----
Hash: SHA1

Merciadri Luca wrote:
> Johannes Wiedersich wrote:
>> Why would an
>> honest soul ever allow information to be read, but not printed?
>>   
> To maintain honesty? An honest soul (i.e. me, here) has to send some
> data to some dishonest person.

The problem is: either you give data to some dishonest person or you
don't give that data to some dishonest person. Tertium non datur.

>> Even with acroread it is possible to print screenshots of the documents.
>> Might be a pain to reconstruct a multipage document, but not impossible.
>>   
> I know, and we all know this. But this needs some determination, because
> it needs some time. And when such problems arise, one often thinks (or
> should, at least, think) `Do I really need to copy this using that
> painful way, to bypass some limitation which is actually imposed to me
> by an honest person?' This is another aspect of security. There are the
> technical means, and all the infringements which can be done. But,
> sometimes, `le jeu n'en vaut pas la chandelle.'

FWIW, if you'd like to rely on such a scheme for security by obstacles,
you'd have to use something else than pdf. pdf's scheme is broken.
That's all.

The reason that it is broken for pdfs is that the specifications for pdf
are freely available, and thus alternative pdf readers have been
developed. Your scheme would require closed specifications and closed
software to work. This list, however, is all about free software.

- --
Johannes

In questions of science, the authority of a thousand is not worth the
humble reasoning of a single individual.
- - Galileo Galilei, physicist and astronomer (1564-1642)
-----BEGIN PGP SIGNATURE-----
Version: GnuPG v1.4.9 (GNU/Linux)

iEUEARECAAYFAkvNS+oACgkQC1NzPRl9qEVM2wCfQpAVsTAx7GnbTUminwiqUIlp
cm4AlRF4NIAhaaT6neYDcg0rYaXGs+k=
=XYrP
-----END PGP SIGNATURE-----


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/4BCD4BEA.2090901@physik.blm.tu-muenchen.de",1
